expedition_id,target_species,expedition_date,location,collection_method,team_size,duration_days,specimens_collected,biomass_kg,weather_conditions,safety_incidents,equipment_used,permits_obtained,expedition_cost_usd,success_rating,samples_viable,voucher_specimens,expedition_leader,institution
EXP-0001,Halichondria okadai,2023-06-28,North Pacific Ocean,Scuba Diving Collection,7,19,43,0.71,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",40134.27,3.9,True,2,Diana Mayer,Marine Bio Institute
EXP-0002,Bothrops jararaca,2024-04-25,Brazilian Atlantic Forest,Venom Milking by Specialists,5,20,38,6.98,Good,2,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",49265.55,3.5,True,1,Erin Smith,Pharma R&D Lab
EXP-0003,Bothrops jararaca,2025-07-13,Brazilian Atlantic Forest,Venom Milking by Specialists,10,3,12,1.1,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",36147.26,3.1,True,3,Monica Ellis,University Research Station
EXP-0004,Conus geographus,2025-03-14,Great Barrier Reef,ROV Collection with Safety Protocols,3,10,41,6.19,Good,2,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",18781.41,4.2,True,1,Arthur Ferguson,Marine Bio Institute
EXP-0005,Salinispora tropica,2023-11-11,Tropical Sediments,Deep Sediment Coring,10,5,39,8.88,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",25240.31,3.4,True,2,Daniel Adams,Marine Bio Institute
EXP-0006,Salinispora tropica,2025-09-10,Tropical Sediments,Deep Sediment Coring,10,20,15,7.36,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",39618.72,3.0,True,3,Kenneth Knight,Pharma R&D Lab
EXP-0007,Bugula neritina,2024-08-30,California Marina,Marina Substrate Sampling,9,9,39,2.67,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",39213.04,3.3,True,2,Michael Williams,Pharma R&D Lab
EXP-0008,Bothrops jararaca,2023-07-05,Brazilian Atlantic Forest,Venom Milking by Specialists,9,14,33,2.49,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",48914.32,4.6,True,5,Julia Martinez,University Research Station
EXP-0009,Halichondria okadai,2025-10-12,North Pacific Ocean,Scuba Diving Collection,6,10,9,5.52,Poor,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",25446.98,4.7,True,3,Aaron Rubio,Marine Bio Institute
EXP-0010,Bugula neritina,2023-10-25,California Marina,Marina Substrate Sampling,11,10,42,3.31,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",38181.07,4.0,True,2,Bonnie Santos,Marine Bio Institute
EXP-0011,Halichondria okadai,2023-09-08,North Pacific Ocean,Scuba Diving Collection,3,10,9,7.87,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",45143.81,4.9,True,1,Denise Pena,University Research Station
EXP-0012,Halichondria okadai,2023-12-17,North Pacific Ocean,Scuba Diving Collection,11,10,22,4.43,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",16460.18,4.7,True,4,Steven Martin,Marine Bio Institute
EXP-0013,Bugula neritina,2024-05-25,California Marina,Marina Substrate Sampling,5,21,41,6.41,Good,1,Standard Collection Equipment,"Research Permit, Institutional Animal Care",34670.93,4.8,True,4,Michael Young,Marine Bio Institute
EXP-0014,Phyllobates terribilis,2025-03-05,Colombian Rainforest,Skin Swab Collection,9,9,11,5.23,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",11757.61,4.5,True,1,April Woods,Pharma R&D Lab
EXP-0015,Phyllobates terribilis,2023-08-10,Colombian Rainforest,Skin Swab Collection,8,16,31,0.94,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",37234.55,3.1,True,4,Michael Smith,Pharma R&D Lab
EXP-0016,Halichondria okadai,2025-04-18,North Pacific Ocean,Scuba Diving Collection,4,4,30,7.4,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",20896.31,3.6,False,3,Virginia Henderson,Marine Bio Institute
EXP-0017,Conus geographus,2023-08-09,Great Barrier Reef,ROV Collection with Safety Protocols,6,9,39,1.93,Good,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",12834.92,3.2,True,4,James Cross,Marine Bio Institute
EXP-0018,Phyllobates terribilis,2023-07-08,Colombian Rainforest,Skin Swab Collection,5,11,34,0.31,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",8697.73,4.9,True,2,Stanley Taylor,Marine Bio Institute
EXP-0019,Phyllobates terribilis,2025-07-12,Colombian Rainforest,Skin Swab Collection,11,6,8,3.88,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",14255.93,3.2,True,5,Brandi Haney,Marine Bio Institute
EXP-0020,Halichondria okadai,2023-08-21,North Pacific Ocean,Scuba Diving Collection,6,8,31,5.35,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",6887.81,4.9,True,4,Alejandra Santos,University Research Station
EXP-0021,Conus geographus,2024-07-12,Great Barrier Reef,ROV Collection with Safety Protocols,9,4,15,6.06,Fair,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",31209.02,4.5,False,4,Lori Hernandez,Marine Bio Institute
EXP-0022,Phyllobates terribilis,2024-06-11,Colombian Rainforest,Skin Swab Collection,7,17,23,3.45,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",46763.76,3.4,True,4,Shannon Miller,Pharma R&D Lab
EXP-0023,Salinispora tropica,2023-07-06,Tropical Sediments,Deep Sediment Coring,11,18,14,6.17,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",47438.41,3.5,True,2,Leah Cruz,University Research Station
EXP-0024,Conus geographus,2026-02-05,Great Barrier Reef,ROV Collection with Safety Protocols,3,21,39,6.49,Good,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",17865.81,4.6,True,1,Charles Hill,Pharma R&D Lab
EXP-0025,Bothrops jararaca,2023-06-18,Brazilian Atlantic Forest,Venom Milking by Specialists,3,4,42,2.6,Fair,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",38976.89,3.9,False,4,Lindsay Lawson,Pharma R&D Lab
EXP-0026,Bugula neritina,2025-07-18,California Marina,Marina Substrate Sampling,5,4,37,6.6,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",12984.29,4.1,True,1,Sarah Barrett,Marine Bio Institute
EXP-0027,Halichondria okadai,2024-02-11,North Pacific Ocean,Scuba Diving Collection,12,5,48,1.73,Poor,1,Standard Collection Equipment,"Research Permit, Institutional Animal Care",10927.79,4.5,True,2,Katrina Adkins,University Research Station
EXP-0028,Halichondria okadai,2024-02-04,North Pacific Ocean,Scuba Diving Collection,12,10,42,8.42,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",37976.07,4.1,True,5,Steven Blevins,Marine Bio Institute
EXP-0029,Bugula neritina,2024-09-10,California Marina,Marina Substrate Sampling,4,16,47,5.69,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",35999.84,4.7,True,5,Jonathan Wheeler,Pharma R&D Lab
EXP-0030,Bugula neritina,2024-10-17,California Marina,Marina Substrate Sampling,8,11,18,4.67,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",5419.92,3.5,True,3,Victoria Peck,Marine Bio Institute
EXP-0031,Bothrops jararaca,2023-08-09,Brazilian Atlantic Forest,Venom Milking by Specialists,9,7,47,4.07,Fair,2,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",41003.19,3.4,True,3,Laura Diaz,University Research Station
EXP-0032,Bothrops jararaca,2025-04-04,Brazilian Atlantic Forest,Venom Milking by Specialists,4,3,34,1.96,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",20992.31,4.6,True,5,Tiffany Townsend,Pharma R&D Lab
EXP-0033,Halichondria okadai,2023-04-05,North Pacific Ocean,Scuba Diving Collection,4,20,18,0.45,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",38558.02,3.4,True,5,Dennis Williams,University Research Station
EXP-0034,Conus geographus,2023-05-23,Great Barrier Reef,ROV Collection with Safety Protocols,8,5,20,1.57,Poor,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",18752.19,4.8,True,3,Katie Fuller,University Research Station
EXP-0035,Conus geographus,2024-09-17,Great Barrier Reef,ROV Collection with Safety Protocols,10,20,50,7.25,Poor,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",44878.81,4.2,True,3,Michael Miller,Pharma R&D Lab
EXP-0036,Salinispora tropica,2024-10-26,Tropical Sediments,Deep Sediment Coring,11,3,47,0.13,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",32881.52,3.7,True,5,Diamond Collins,University Research Station
EXP-0037,Salinispora tropica,2024-09-28,Tropical Sediments,Deep Sediment Coring,4,7,21,4.86,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",33904.65,3.1,True,1,Robert Herrera,Marine Bio Institute
EXP-0038,Salinispora tropica,2024-05-19,Tropical Sediments,Deep Sediment Coring,11,7,22,6.07,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",35441.06,4.6,True,3,Sandra Becker,Pharma R&D Lab
EXP-0039,Conus geographus,2023-05-29,Great Barrier Reef,ROV Collection with Safety Protocols,8,9,48,0.86,Good,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",7634.79,3.7,True,3,Monica Mathis,Pharma R&D Lab
EXP-0040,Phyllobates terribilis,2023-05-20,Colombian Rainforest,Skin Swab Collection,7,4,10,5.22,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",24808.95,3.3,True,4,Jeffrey Chavez,University Research Station
EXP-0041,Halichondria okadai,2025-01-13,North Pacific Ocean,Scuba Diving Collection,3,13,13,2.28,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",31920.14,4.5,True,3,Patrick Yang,Marine Bio Institute
EXP-0042,Salinispora tropica,2023-07-26,Tropical Sediments,Deep Sediment Coring,10,20,50,4.27,Poor,1,Standard Collection Equipment,"Research Permit, Institutional Animal Care",33627.98,4.6,True,4,Meredith Martin,Pharma R&D Lab
EXP-0043,Halichondria okadai,2026-01-25,North Pacific Ocean,Scuba Diving Collection,4,5,49,3.9,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",30734.25,4.2,True,2,Rachel Le,Pharma R&D Lab
EXP-0044,Halichondria okadai,2023-09-16,North Pacific Ocean,Scuba Diving Collection,8,21,40,0.36,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",6088.63,4.7,True,2,Richard Adams,University Research Station
EXP-0045,Conus geographus,2025-11-13,Great Barrier Reef,ROV Collection with Safety Protocols,3,12,28,9.41,Good,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",16668.35,3.9,True,1,Alyssa Roman,University Research Station
EXP-0046,Conus geographus,2024-01-10,Great Barrier Reef,ROV Collection with Safety Protocols,6,6,27,8.05,Fair,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",25618.41,4.0,True,5,Michael Ray,University Research Station
EXP-0047,Bugula neritina,2023-06-10,California Marina,Marina Substrate Sampling,5,10,15,5.01,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",24658.28,4.5,True,2,Ian Porter,University Research Station
EXP-0048,Halichondria okadai,2024-11-28,North Pacific Ocean,Scuba Diving Collection,5,13,31,1.44,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",38811.88,4.3,True,2,David Garcia,University Research Station
EXP-0049,Conus geographus,2024-12-06,Great Barrier Reef,ROV Collection with Safety Protocols,4,15,7,2.89,Poor,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",16776.76,3.5,True,4,Crystal Hicks,Marine Bio Institute
EXP-0050,Conus geographus,2023-05-05,Great Barrier Reef,ROV Collection with Safety Protocols,10,14,24,7.62,Poor,0,"ROV, Scuba Gear, Sterile Containers","Research Permit, Institutional Animal Care, CITES Permit",25238.29,4.6,True,2,Dana Ruiz,Marine Bio Institute
EXP-0051,Halichondria okadai,2024-05-10,North Pacific Ocean,Scuba Diving Collection,6,15,26,0.72,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",45789.69,3.3,True,3,Timothy Mathews,Marine Bio Institute
EXP-0052,Bothrops jararaca,2024-11-12,Brazilian Atlantic Forest,Venom Milking by Specialists,8,19,30,9.01,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",5982.05,4.3,True,5,Natalie Barnes,University Research Station
EXP-0053,Halichondria okadai,2024-03-04,North Pacific Ocean,Scuba Diving Collection,4,11,16,0.62,Poor,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",23845.7,3.5,False,5,Nathan Nelson,University Research Station
EXP-0054,Halichondria okadai,2023-06-11,North Pacific Ocean,Scuba Diving Collection,4,16,27,6.58,Fair,2,Standard Collection Equipment,"Research Permit, Institutional Animal Care",13914.39,4.1,True,3,Jonathan Winters,University Research Station
EXP-0055,Bugula neritina,2023-09-30,California Marina,Marina Substrate Sampling,11,6,29,3.56,Good,2,Standard Collection Equipment,"Research Permit, Institutional Animal Care",10134.31,3.3,True,5,Vicki Finley,Marine Bio Institute
EXP-0056,Bothrops jararaca,2023-06-01,Brazilian Atlantic Forest,Venom Milking by Specialists,3,16,5,5.66,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",28552.59,3.2,True,5,Douglas Kirk,Pharma R&D Lab
EXP-0057,Salinispora tropica,2024-03-10,Tropical Sediments,Deep Sediment Coring,6,14,32,7.11,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",29459.22,3.2,True,1,Aimee Gonzalez,Pharma R&D Lab
EXP-0058,Bothrops jararaca,2024-11-24,Brazilian Atlantic Forest,Venom Milking by Specialists,12,13,47,9.46,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",43248.89,4.3,True,1,Marcus Marshall,Pharma R&D Lab
EXP-0059,Bothrops jararaca,2024-12-25,Brazilian Atlantic Forest,Venom Milking by Specialists,11,12,47,5.5,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",7802.29,4.0,True,4,Raymond Gonzalez DVM,University Research Station
EXP-0060,Phyllobates terribilis,2025-06-28,Colombian Rainforest,Skin Swab Collection,7,20,13,7.88,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",14061.37,3.5,True,2,Aaron Ortiz,University Research Station
EXP-0061,Salinispora tropica,2023-11-28,Tropical Sediments,Deep Sediment Coring,9,8,44,5.24,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",14219.66,4.8,True,5,Ryan Wiley,University Research Station
EXP-0062,Phyllobates terribilis,2026-01-23,Colombian Rainforest,Skin Swab Collection,11,3,24,4.57,Fair,1,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",49324.53,4.5,True,3,Matthew Sweeney,Marine Bio Institute
EXP-0063,Phyllobates terribilis,2025-05-23,Colombian Rainforest,Skin Swab Collection,12,13,34,9.1,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",29241.58,4.0,True,4,Joseph Allen,University Research Station
EXP-0064,Salinispora tropica,2024-09-07,Tropical Sediments,Deep Sediment Coring,6,19,35,3.87,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",39902.53,4.9,True,2,Zachary Dawson,Pharma R&D Lab
EXP-0065,Halichondria okadai,2023-06-27,North Pacific Ocean,Scuba Diving Collection,7,19,47,7.95,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",30991.7,4.3,True,5,Stephanie Meyer,University Research Station
EXP-0066,Halichondria okadai,2025-04-24,North Pacific Ocean,Scuba Diving Collection,6,12,19,5.38,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",12107.97,4.4,False,2,William Miller,Marine Bio Institute
EXP-0067,Halichondria okadai,2023-06-30,North Pacific Ocean,Scuba Diving Collection,3,10,35,9.07,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",17460.7,5.0,True,5,Robert Jones,Marine Bio Institute
EXP-0068,Phyllobates terribilis,2024-11-29,Colombian Rainforest,Skin Swab Collection,9,21,17,8.95,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",34443.16,3.3,True,4,Victor Young,University Research Station
EXP-0069,Phyllobates terribilis,2023-12-29,Colombian Rainforest,Skin Swab Collection,6,7,46,8.84,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",41162.16,4.0,True,1,Robert Haynes,Marine Bio Institute
EXP-0070,Phyllobates terribilis,2025-05-31,Colombian Rainforest,Skin Swab Collection,6,8,49,6.71,Poor,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",33560.21,3.3,False,5,Dillon Jones,University Research Station
EXP-0071,Halichondria okadai,2023-10-26,North Pacific Ocean,Scuba Diving Collection,11,10,12,0.22,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",30189.01,4.1,True,4,Lauren Moore,Marine Bio Institute
EXP-0072,Phyllobates terribilis,2023-09-14,Colombian Rainforest,Skin Swab Collection,11,20,43,7.34,Fair,1,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",13433.54,4.7,True,3,Jason Herrera,University Research Station
EXP-0073,Bugula neritina,2026-02-07,California Marina,Marina Substrate Sampling,11,16,40,3.21,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",26202.56,4.6,True,4,Eric Baker,Marine Bio Institute
EXP-0074,Salinispora tropica,2023-07-27,Tropical Sediments,Deep Sediment Coring,10,17,21,8.3,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care",20084.36,3.3,True,2,Michael Mckenzie,Pharma R&D Lab
EXP-0075,Bothrops jararaca,2025-04-19,Brazilian Atlantic Forest,Venom Milking by Specialists,11,18,45,2.47,Fair,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",11388.74,3.7,True,2,Russell Murphy,University Research Station
EXP-0076,Phyllobates terribilis,2023-06-25,Colombian Rainforest,Skin Swab Collection,4,12,20,6.25,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",20856.87,4.7,True,3,Henry Palmer,University Research Station
EXP-0077,Bothrops jararaca,2025-03-29,Brazilian Atlantic Forest,Venom Milking by Specialists,11,5,13,1.35,Good,2,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",35427.99,3.7,True,2,William Johnson,Marine Bio Institute
EXP-0078,Phyllobates terribilis,2024-06-03,Colombian Rainforest,Skin Swab Collection,5,9,9,8.57,Fair,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",15223.08,4.7,True,4,Paul Wright,University Research Station
EXP-0079,Bothrops jararaca,2024-08-05,Brazilian Atlantic Forest,Venom Milking by Specialists,11,17,31,5.18,Good,0,"Venom Extraction Kit, Antivenom, Safety Gear","Research Permit, Institutional Animal Care",18738.98,3.4,True,1,Brenda Smith,Marine Bio Institute
EXP-0080,Phyllobates terribilis,2025-09-13,Colombian Rainforest,Skin Swab Collection,9,21,49,9.39,Good,0,Standard Collection Equipment,"Research Permit, Institutional Animal Care, CITES Permit",44204.2,4.5,True,1,Mrs. Samantha Watson,Pharma R&D Lab
